model_name 8x5_5e-4_rgb12_22:43:46_1_0_23:17:34
loading nuscenes...
making parser...
indices (28130, 1)
NuscData: 28130 samples. Split: train.
                   Augmentation Conf: {'final_dim': (448, 800), 'cams': ['CAM_FRONT_LEFT', 'CAM_FRONT', 'CAM_FRONT_RIGHT', 'CAM_BACK_LEFT', 'CAM_BACK', 'CAM_BACK_RIGHT'], 'ncams': 6}
indices (6019, 1)
NuscData: 6019 samples. Split: val.
                   Augmentation Conf: {'final_dim': (448, 800), 'cams': ['CAM_FRONT_LEFT', 'CAM_FRONT', 'CAM_FRONT_RIGHT', 'CAM_BACK_LEFT', 'CAM_BACK', 'CAM_BACK_RIGHT'], 'ncams': 6}
data ready
total_params 42048711
reading ckpt from checkpoints/8x5_5e-4_rgb12_22:43:46
...found checkpoint checkpoints/8x5_5e-4_rgb12_22:43:46/model-000025000.pth
8x5_5e-4_rgb12_22:43:46_1_0_23:17:34; step 000030/6019; rtime 0.00; itime 0.18 (187.55 ms); loss 5.74633; iou_ev 45.1
8x5_5e-4_rgb12_22:43:46_1_0_23:17:34; step 000031/6019; rtime 0.00; itime 0.18 (187.18 ms); loss 4.60183; iou_ev 45.1
8x5_5e-4_rgb12_22:43:46_1_0_23:17:34; step 000032/6019; rtime 0.00; itime 0.18 (186.82 ms); loss 4.31056; iou_ev 45.0
8x5_5e-4_rgb12_22:43:46_1_0_23:17:34; step 000033/6019; rtime 0.00; itime 0.18 (186.49 ms); loss 1.60381; iou_ev 45.0
8x5_5e-4_rgb12_22:43:46_1_0_23:17:34; step 000034/6019; rtime 0.00; itime 0.18 (186.18 ms); loss 2.73549; iou_ev 44.8
8x5_5e-4_rgb12_22:43:46_1_0_23:17:34; step 000035/6019; rtime 0.00; itime 0.18 (185.88 ms); loss 0.61505; iou_ev 44.8
8x5_5e-4_rgb12_22:43:46_1_0_23:17:34; step 000036/6019; rtime 0.00; itime 0.18 (185.61 ms); loss -0.25313; iou_ev 44.9
8x5_5e-4_rgb12_22:43:46_1_0_23:17:34; step 000037/6019; rtime 0.00; itime 0.18 (185.35 ms); loss 2.86725; iou_ev 44.9
8x5_5e-4_rgb12_22:43:46_1_0_23:17:34; step 000038/6019; rtime 0.00; itime 0.18 (185.09 ms); loss 1.52341; iou_ev 44.9
8x5_5e-4_rgb12_22:43:46_1_0_23:17:34; step 000039/6019; rtime 0.00; itime 0.18 (184.86 ms); loss 1.73084; iou_ev 44.9
